key,prefecture,name,address
niigata_0,新潟県,タイトーＦステーション燕三条,新潟県燕市井土巻３－１５０イオン県央店アメニティ棟１Ｆ
niigata_1,新潟県,モーリーファンタジー県央,新潟県燕市井土巻３－６５　イオン２Ｆ
niigata_2,新潟県,イオン県央,新潟県燕市井土巻３－６５玩具売場
niigata_3,新潟県,イオン三条,新潟県三条市西裏館２－１２－２０玩具売場
niigata_4,新潟県,ＰＡＬＯ十日町,新潟県十日町市旭町１６１リオン・ドール十日町
niigata_5,新潟県,モーリーファンタジー十日町,新潟県十日町市字川端丑７８４－１イオン１Ｆ
niigata_6,新潟県,モーリーファンタジー小千谷,新潟県小千谷市大字平沢新田字荒田３３９　イオン２Ｆ
niigata_7,新潟県,こころっこ上越,新潟県上越市とよば２３９番の１　バロー上越店内
niigata_8,新潟県,アピナ上越インター,新潟県上越市下門前１６６１
niigata_9,新潟県,イオン上越,新潟県上越市富岡３４５７玩具売場
niigata_10,新潟県,モーリーファンタジー上越,新潟県上越市富岡３４５８番地　アコーレ２階アコーレ２Ｆ
niigata_11,新潟県,アピタ新潟亀田,新潟県新潟市江南区鵜ノ子４－４６６　玩具売場
niigata_12,新潟県,ハローズガーデン新潟亀田,新潟県新潟市江南区鵜ノ子４－４６６アピタ新潟亀田店２Ｆ
niigata_13,新潟県,イオン新潟南,新潟県新潟市江南区下早通柳田１－１－１玩具売場
niigata_14,新潟県,モーリーファンタジー・ｆ新潟南,新潟県新潟市江南区下早通柳田1丁目1番1号イオンモール２Ｆ
niigata_15,新潟県,モーリーファンタジー新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール３Ｆ
niigata_16,新潟県,キラキラＡｓｏｂｏｘ新潟白根,新潟県新潟市南区能登４０９－２イオン白根店１Ｆ
niigata_17,新潟県,アピタ新潟西,新潟県新潟市小新４７４　玩具売場
niigata_18,新潟県,ゲオ寺尾,新潟県新潟市西区五十嵐東１丁目７番１号
niigata_19,新潟県,ファミリーアミューズメント新潟西,新潟県新潟市西区小新字白鳥４７４アピタ新潟西店２Ｆ
niigata_20,新潟県,タイトーＦステーションイオン新潟西,新潟県新潟市西区小新南２丁目１番１０号
niigata_21,新潟県,モーリーファンタジー新潟青山,新潟県新潟市西区青山２－５－１イオン２Ｆ
niigata_22,新潟県,ビックカメラ新潟店,新潟県新潟市中央区花園１－１－２１　ＣｏＣｏＬｏ南館内
niigata_23,新潟県,トイザらス新潟,新潟県新潟市中央区上近江４－１２－２０　デッキィ４０１内
niigata_24,新潟県,ヨドバシカメラマルチメディア新潟駅前,新潟県新潟市中央区弁天１－２－６　玩具売場
niigata_25,新潟県,イトーヨーカドー丸大新潟,新潟県新潟市中央区本町通り６－１１２２－１玩具売場
niigata_26,新潟県,モーリーファンタジー新潟東,新潟県新潟市東区大形本町３－１－２イオン３Ｆ
niigata_27,新潟県,カプコサーカス新潟東,新潟県新潟市東区大形本町３－１－２イオン新潟東店内ゲームコーナー
niigata_28,新潟県,イオン白根,新潟県新潟市南区能登４０９－２
niigata_29,新潟県,モーリーファンタジー新発田,新潟県新発田市住吉町５丁目１１番５号イオン２Ｆ
niigata_30,新潟県,イオン新発田,新潟県新発田市住吉町５丁目１１番５号玩具売場
niigata_31,新潟県,タカラ島新村上,新潟県村上市仲間町２００番地村上プラザ１階内
niigata_32,新潟県,イオン長岡,新潟県長岡市古正寺１－２４９－１玩具売場
niigata_33,新潟県,アピナ長岡,新潟県長岡市堺東町２２
niigata_34,新潟県,アピタ長岡,新潟県長岡市千秋2-278
niigata_35,新潟県,ハローズガーデン長岡,新潟県長岡市千秋２－２７８アピタＲＩＶＥＲＳＩＤＥＳＥＮＳＨＵ長岡店２Ｆ
niigata_36,新潟県,トイザらス長岡,新潟県長岡市川崎町１４３６－５
niigata_37,新潟県,モーリーファンタジー六日町,新潟県南魚沼市余川　３１００イオン２Ｆ
niigata_38,新潟県,ＭＥＧＡドン・キホーテ柏崎,新潟県柏崎市東長浜町４－１５
