key,prefecture,name,address
okinawa_0,沖縄県,（株）サンエー具志川メインシティ店,沖縄県うるま市江洲４５０－１　２Ｆ玩具売場
okinawa_1,沖縄県,イオン具志川,沖縄県うるま市字前原幸崎原３０３番地玩具売場
okinawa_2,沖縄県,サンエー石川ショッピングセンター,沖縄県うるま市石川赤崎２－１－１玩具売場
okinawa_3,沖縄県,モーリーファンタジー具志川,沖縄県うるま市前原幸崎原３０３番地イオン２Ｆ
okinawa_4,沖縄県,モーリーファンタジー浦添,沖縄県浦添市城間４－７－１浦添ショッピングセンター３Ｆ
okinawa_5,沖縄県,ゲオ西原,沖縄県浦添市当山２丁目２番３号
okinawa_6,沖縄県,モーリーファンタジー糸満,沖縄県糸満市字兼城４００番地サンプラザいとまん店１Ｆ
okinawa_7,沖縄県,サンエーしおざきシティ店,沖縄県糸満市潮崎町２－２　玩具売り場
okinawa_8,沖縄県,モーリーファンタジー北谷,沖縄県中頭郡北谷町字美浜８－３イオン２Ｆ
okinawa_9,沖縄県,モーリーファンタジーライカム,沖縄県中頭郡北中城村アクセ土地区整理事業地内
okinawa_10,沖縄県,楽市楽座イオンモール沖縄ライカム,沖縄県中頭郡北中城村アワセ土地区画整理事業地内４街区イオンモール沖縄ライカム店４F
okinawa_11,沖縄県,イオン南風原,沖縄県島尻郡南風原町字宮平２６４　玩具売場
okinawa_12,沖縄県,モーリーファンタジー南風原,沖縄県島尻郡南風原町字宮平２６４イオン２Ｆ
okinawa_13,沖縄県,トイザらス那覇新都心,沖縄県那覇市おもろまち３－３　あっぷるタウン１Ｆ
okinawa_14,沖縄県,サンエー那覇メインプレイス店,沖縄県那覇市おもろまち４－４－９　２Ｆ玩具売場
okinawa_15,沖縄県,イオン那覇,沖縄県那覇市金城５－１０－２　玩具売場
okinawa_16,沖縄県,モーリーファンタジー那覇,沖縄県那覇市金城５－１０－２イオン３Ｆ
okinawa_17,沖縄県,サンエー豊見城ウイングシティ,沖縄県豊見城市高安２６１－２　２Ｆ玩具売場
okinawa_18,沖縄県,モーリーファンタジー名護,沖縄県名護市字名護見取川原４４７２イオン１Ｆ
