key,prefecture,name,address
iwate_0,岩手県,モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ノ瀬１１番１ＳｕＣ１Ｆ
iwate_1,岩手県,モーリーファンタジー一関,岩手県一関市山目字泥田８９－１イオン２Ｆ
iwate_2,岩手県,セガワールド水沢,岩手県奥州市水沢区佐倉河字鐙田４－１
iwate_3,岩手県,イオンスーパーセンター水沢桜屋敷,岩手県奥州市水沢区桜屋敷西28-10
iwate_4,岩手県,イオン前沢,岩手県奥州市前沢区向田２－８５玩具売場
iwate_5,岩手県,モーリーファンタジー前沢,岩手県奥州市前沢区向田２丁目８５イオン２Ｆ
iwate_6,岩手県,イトーヨーカドー花巻,岩手県花巻市下小舟渡１１８－１玩具売場
iwate_7,岩手県,ＳＯＹＵファミリーゲームフィールド花巻,岩手県花巻市高木第１６地割６８番地６銀河モール花巻内
iwate_8,岩手県,イオンスーパーセンター釜石,岩手県釜石市港町２－１－１
iwate_9,岩手県,ＳＯＹＵＧａｍｅＦｉｅｌｄ釜石,岩手県釜石市港町二丁目１番１号　イオンタウン釜石店３Ｆ
iwate_10,岩手県,ＰＡＬＯ久慈,岩手県久慈市長内町第３０地割３２－２久慈ショッピングセンター１Ｆ
iwate_11,岩手県,モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地－１ＳｕＣ１Ｆ
iwate_12,岩手県,スカロップ川徳店,岩手県盛岡市菜園１－１０－１　パルクアベニュー川徳６Ｆ
iwate_13,岩手県,タイトーステーション盛岡マッハランド,岩手県盛岡市上堂１－２－３８マッハランド内
iwate_14,岩手県,モーリーファンタジー盛岡,岩手県盛岡市前潟４－７－１イオン２Ｆ
iwate_15,岩手県,イオン盛岡,岩手県盛岡市前潟４－７－１玩具売場
iwate_16,岩手県,プラサカプコン盛岡,岩手県盛岡市前潟４丁目７番１号イオンモール盛岡２Ｆ
iwate_17,岩手県,モーリーファンタジー盛岡南,岩手県盛岡市津志田西２丁目１７－５０盛岡南ショッピングセンターサンサ店１Ｆ
iwate_18,岩手県,モーリーファンタジーイオン盛岡南,岩手県盛岡市本宮７－１－１イオン３Ｆ
iwate_19,岩手県,ＳＯＹＵＧａｍｅＦｉｅｌｄ盛岡南,岩手県盛岡市本宮７－１－１イオンモール盛岡南１Ｆ
iwate_20,岩手県,イオン盛岡南,岩手県盛岡市本宮字稲荷１０－１玩具売場
iwate_21,岩手県,イオンスーパーセンター金ヶ崎,岩手県胆沢郡金ヶ崎町三ケ尻荒巻１６５
iwate_22,岩手県,イオン江釣子,岩手県北上市北鬼柳１９－６８玩具売場
iwate_23,岩手県,トイザらス北上,岩手県北上市有田町１０－３
iwate_24,岩手県,イオンスーパーセンター陸前高田,岩手県陸前高田市米崎町字川崎２２６玩具売場
